HostResponseTime,HostResponseRate,HostAcceptRate,Superhost,HostListings,Neighborhood,Latitude,Longitude,RoomType,Accomodates,Bathrooms,Bedrooms,Beds,Price,MinNights,Availability30,Availability60,Availability90,Availability365,ReviewCount,FirstReview,AvgRating,RatingAccuracy,RatingClean,RatingCheckIn,RatingCommunication,RatingLocation,RatingValue,Instant Booking,BookingsPerMonth,CommissionsPerMonth
within a few hours,1,0.33,f,29,Centro Storico,43.76933,11.26655,Entire home/apt,4,1,1,2,135,3,30,60,90,365,4,2014.4,4,3.67,4.25,5,4.75,4.75,4.25,f,0.05,3.0375
within a few hours,1,0.33,f,29,Centro Storico,43.76939,11.26638,Entire home/apt,8,2,3,4,250,2,29,59,89,364,33,2012.6,4.13,4.34,4.5,4.34,4.34,4.31,4.16,f,0.3,33.75
within an hour,1,1,f,189,Centro Storico,43.76976,11.26376,Entire home/apt,6,1,2,2,165,3,0,0,0,40,9,2013.8,4.33,4.11,4.11,4.44,4.89,4.78,4.44,t,0.09,6.6825
within a few hours,1,1,f,10,Centro Storico,43.76607,11.24914,Entire home/apt,4,1,1,1,59,2,15,38,68,120,104,2013.3,4.35,4.26,4.6,4.63,4.71,4.89,4.4,f,1.03,27.3465
within an hour,1,0.94,t,4,Centro Storico,43.77146,11.27073,Entire home/apt,2,1,1,2,31,2,3,6,11,114,276,2012.8,4.84,4.9,4.93,4.93,4.93,4.79,4.84,f,2.57,35.8515
within an hour,1,1,f,6,Centro Storico,43.7785,11.24377,Hotel room,4,2,1,4,97,1,0,0,0,161,1,2019.1,4,5,5,5,5,4,5,f,0.03,1.3095
within an hour,1,1,f,6,Centro Storico,43.78065,11.24577,Hotel room,3,1,1,2,82,1,0,0,6,247,48,2016.6,4.6,4.73,4.85,4.83,4.96,4.78,4.58,f,0.79,29.151
within an hour,1,1,f,6,Centro Storico,43.78049,11.24462,Hotel room,2,2,1,1,67,1,30,60,90,330,267,2015.2,4.49,4.71,4.8,4.8,4.82,4.56,4.54,f,3.4,102.51
within a few hours,1,1,f,2,Centro Storico,43.78497,11.24146,Entire home/apt,2,1,1,1,50,1,11,26,29,138,5,2017.9,4.33,5,5,5,5,5,5,t,0.11,2.475
within an hour,1,0.99,t,40,Centro Storico,43.76525,11.25353,Entire home/apt,3,1,1,2,133,1,17,47,73,316,24,2013.3,4.5,4.52,4.43,4.78,4.82,4.83,4.43,t,0.24,14.364
